filename,measure
accidentals-001.png,1
accidentals-002.png,12
accidentals-003.png,23
accidentals-004.png,34
accidentals-005.png,46
accidentals-006.png,57
accidentals-007.png,69
accidentals-008.png,80
accidentals-009.png,91
accidentals-010.png,102
accidentals-011.png,113
accidentals-012.png,124
accidentals-013.png,136
accidentals-014.png,150
accidentals-015.png,163
accidentals-016.png,175
accidentals-017.png,183
accidentals-018.png,192
accidentals-019.png,200
accidentals-020.png,209
accidentals-021.png,218
accidentals-022.png,230
accidentals-023.png,238
accidentals-024.png,248
accidentals-025.png,258
accidentals-026.png,267
accidentals-027.png,280
accidentals-028.png,288
accidentals-029.png,295
accidentals-030.png,303
accidentals-031.png,311
accidentals-032.png,320
accidentals-033.png,326
accidentals-034.png,332
accidentals-035.png,345
accidentals-036.png,353
accidentals-037.png,360
accidentals-038.png,368
accidentals-039.png,376
accidentals-040.png,385
accidentals-041.png,391
accidentals-042.png,397
accidentals-043.png,404
accidentals-044.png,415
accidentals-045.png,426
accidentals-046.png,438
accidentals-047.png,448
accidentals-048.png,459
accidentals-049.png,470
accidentals-050.png,479
